# es_language_admin.txt - this file is for the internationalization of the astGUIclient 
# admin web pages. The associated install.pl file will take the language as an 
# argument and alter the php scripts to the language typed in the command line:
# example: ./install.pl --language=es
# current languages in the file:
# - English - (en) no alterations
# - Spanish - (es) first column
***LANGUAGES***
en-English|es-Español|
GROUP NOT ADDED - there is already a group in the system with this ID|GRUPO NO AGREGADO - hay ya un grupo en el sistema con esta ID|
GROUP NOT ADDED - Please go back and look at the data you entered|GRUPO NO AGREGADO - vaya por favor detrás y mire los datos que usted incorporó|
Group ID must be between 2 and 20 characters in length and contain no|La ID de grupo debe estar entre 2 y 20 caracteres en longitud y contener no|
Group name and group color must be at least 2 characters in length|El color del nombre de grupo y del grupo debe ser por lo menos 2 caracteres en longitud|
REMOTE AGENTS NOT ADDED - there is already a remote agents entry starting with this userID|AGENTES ALEJADOS NO AGREGADOS - hay ya una entrada alejada de los agentes comenzando con esta ID del usuario|
REMOTE AGENTS NOT ADDED - Please go back and look at the data you entered|AGENTES ALEJADOS NO AGREGADOS - vaya por favor detrás y mire los datos que usted incorporó|
User ID start and external extension must be at least 2 characters in length|El comienzo de la ID del usuario y la extensión externa deben ser por lo menos 2 caracteres en longitud|
USER GROUP NOT ADDED - there is already a user group entry with this name|GRUPO de USUARIO NO AGREGADO - hay ya una entrada del grupo de usuario con este nombre|
USER GROUP NOT ADDED - Please go back and look at the data you entered|GRUPO de USUARIO NO AGREGADO - vaya por favor detrás y mire los datos que usted incorporó|
Group name and description must be at least 2 characters in length|El nombre y la descripción de grupo deben ser por lo menos 2 caracteres en longitud|
USER NOT MODIFIED - Please go back and look at the data you entered|USUARIO NO MODIFICADO - vaya por favor detrás y mire los datos que usted incorporó|
Password and Full Name each need ot be at least 2 characters in length|La contraseña y el nombre completo cada ot de la necesidad sean por lo menos 2 caracteres en longitud|
CAMPAIGN NOT MODIFIED - Please go back and look at the data you entered|CAMPAÚA NO MODIFICADA - vaya por favor detrás y mire los datos que usted incorporó|
the campaign name needs to be at least 6 characters in length|el nombre de la campaña necesita ser por lo menos 6 caracteres en longitud|
RESETTING CAMPAIGN LEAD HOPPER|REAJUSTE DE LA TOLVA DEL PLOMO DE LA CAMPAÚA|
Wait 1 minute before dialing next number|Espera 1 minuto antes de marcar el número siguiente|
CAMPAIGN STATUS NOT MODIFIED - Please go back and look at the data you entered|ESTADO de la CAMPAÚA NO MODIFICADO - vaya por favor detrás y mire los datos que usted incorporó|
the campaign id needs to be at least 2 characters in length|la ID de la campaña necesita ser por lo menos 2 caracteres en longitud|
the campaign status needs to be at least 1 characters in length|el estado de la campaña necesita ser por lo menos los caracteres 1 en longitud|
CUSTOM CAMPAIGN STATUS DELETED|ESTADO DE ENCARGO DE LA CAMPAÚA SUPRIMIDO|
CAMPAIGN HOT KEY NOT MODIFIED - Please go back and look at the data you entered|CAMPAÚA HOT KEY NO MODIFICADA - vaya por favor detrás y mire los datos que usted incorporó|
the campaign hot key needs to be at least 1 characters in length|el hot key de la campaña necesita ser por lo menos los caracteres 1 en longitud|
CUSTOM CAMPAIGN HOT KEY DELETED|LA CAMPAÚA DE ENCARGO HOT KEY SUPRIMIÚ|
CAMPAIGN NOT MODIFIED - Please go back and look at the data you entered|CAMPAÚA NO MODIFICADA - vaya por favor detrás y mire los datos que usted incorporó|
the campaign name needs to be at least 6 characters in length|el nombre de la campaña necesita ser por lo menos 6 caracteres en longitud|
LIST NOT MODIFIED - Please go back and look at the data you entered|LISTA NO MODIFICADA - vaya por favor detrás y mire los datos que usted incorporó|
list name must be at least 2 characters in length|el nombre de la lista debe ser por lo menos 2 caracteres en longitud|
REMOVING LIST HOPPER LEADS FROM OLD CAMPAIGN HOPPER|QUITAR LOS PLOMOS DE LA TOLVA DE LA LISTA DE VIEJA TOLVA DE LA CAMPAÚA|
GROUP NOT MODIFIED - Please go back and look at the data you entered|GRUPO NO MODIFICADO - vaya por favor detrás y mire los datos que usted incorporó|
group name and group color must be at least 2 characters in length|el color del nombre de grupo y del grupo debe ser por lo menos 2 caracteres en longitud|
REMOTE AGENTS NOT MODIFIED - Please go back and look at the data you entered|AGENTES ALEJADOS NO MODIFICADOS - vaya por favor detrás y mire los datos que usted incorporó|
User ID Start and External Extension must be at least 2 characters in length|El comienzo de la ID del usuario y la extensión externa deben ser por lo menos 2 caracteres en longitud|
REMOTE AGENTS MODIFIED|LOS AGENTES ALEJADOS SE MODIFICARON|
USER GROUP NOT MODIFIED - Please go back and look at the data you entered|GRUPO de USUARIO NO MODIFICADO - vaya por favor detrás y mire los datos que usted incorporó|
Group name and description must be at least 2 characters in length|El nombre y la descripción de grupo deben ser por lo menos 2 caracteres en longitud|
MODIFY A USERS RECORD|MODIFIQUE Un EXPEDIENTE De los USUARIOS|
Click here for user stats|Clique aquí para ver las estadísticas del usuario|
MODIFY A CAMPAIGNS RECORD|MODIFIQUE Un EXPEDIENTE De las CAMPAÚAS|
CONFERENCES TABLE|TABLA DE CONFERENCIAS|
Conference Number -<\/B> This field is where you put the meetme conference dialpna number. It is also recommended that the meetme number in meetme.conf matches this number for each entry. This is for the conferences in astGUIclient and is used for leave-3way-call functionality in VICIDIAL|Número de la conferencia -</B> este campo es donde usted pone el número del dialpna de la conferencia del meetme. También se recomienda que el número del meetme en meetme.conf empareja este número para cada entrada. Esto está para las conferencias en astGUIclient y se utiliza para la funcionalidad de leave-3way-call en VICIDIAL|
Server IP -<\/B> The menu where you select the Asterisk server that this conference will be on|IP del servidor -</B> El menú donde usted selecciona el servidor del asterisco que esta conferencia estará encendido|
PHONE NOT ADDED - there is already a Phone in the system with this extension\/server|TELÉFONO NO AGREGADO - hay ya un teléfono en el sistema con esta extensión/servidor|
PHONE NOT ADDED - Please go back and look at the data you entered|TELÉFONO NO AGREGADO - vaya por favor detrás y mire los datos que usted incorporó|
PHONE ADDED|EL TELÉFONO AGREGÚ|
SERVER NOT ADDED - there is already a server in the system with this ID|SERVIDOR NO AGREGADO - hay ya un servidor en el sistema con esta identificación|
SERVER NOT ADDED - Please go back and look at the data you entered|SERVIDOR NO AGREGADO - vaya por favor detrás y mire los datos que usted incorporó|
SERVER ADDED|SERVIDOR AGREGADO|
CONFERENCE NOT ADDED - there is already a conference in the system with this ID and server|CONFERENCIA NO AGREGADA - hay ya una conferencia en el sistema con esta identificación y servidor|
CONFERENCE NOT ADDED - Please go back and look at the data you entered|CONFERENCIA NO AGREGADA - vaya por favor detrás y mire los datos que usted incorporó|
CONFERENCE ADDED|LA CONFERENCIA AGREGÚ|
PHONE NOT MODIFIED - there is already a Phone in the system with this extension\/server|TELÉFONO NO MODIFICADO - hay ya un teléfono en el sistema con esta extensión/servidor|
PHONE NOT MODIFIED - Please go back and look at the data you entered|TELÉFONO NO MODIFICADO - vaya por favor detrás y mire los datos que usted incorporó|
PHONE MODIFIED|TELÉFONO MODIFICADO|
SERVER NOT MODIFIED - there is already a server in the system with this server_ip|SERVIDOR NO MODIFICADO - hay ya un servidor en el sistema con este server_ip|
SERVER NOT MODIFIED - Please go back and look at the data you entered|SERVIDOR NO MODIFICADO - vaya por favor detrás y mire los datos que usted incorporó|
SERVER MODIFIED|SERVIDOR MODIFICADO|
CONFERENCE NOT MODIFIED - there is already a Conference in the system with this extension-server|CONFERENCIA - hay ya una conferencia en el sistema con esta extensión - servidor NO MODIFICADO|
CONFERENCE NOT MODIFIED - Please go back and look at the data you entered|CONFERENCIA NO MODIFICADA - vaya por favor detrás y mire los datos que usted incorporó|
You do not have permissions to modify this user|Usted no tiene permisos de modificar a este usuario|
Click here to delete user|Chasque aquí para suprimir a usuario|
Please go back and look at the data you entered|Vaya por favor detrás y mire los datos que usted incorporó|
Click here to delete campaign|Chasque aquí para suprimir campaña|
Click here to delete list and all of its leads|Chasque aquí para suprimir la lista y todos sus plomos|
REMOVING LIST LEADS FROM VICIDIAL_LIST TABLE|QUITAR LOS PLOMOS DE LA LISTA DE LA TABLA DE VICIDIAL_LIST|
Click here to delete in-group|Chasque aquí para suprimir a en-grupo|
Click here to delete remote agent|Chasque aquí para suprimir el agente alejado|
Click here to delete user group|Chasque aquí para suprimir a grupo de usuario|
Click here to delete phone|Chasque aquí para suprimir el teléfono|
there is already a script entry with this name|hay ya una entrada de la escritura con este nombre|
Script name, description and text must be at least 2 characters in length|El nombre, la descripción y el texto de la escritura deben ser por lo menos 2 caracteres en longitud|
Click here to delete script|Chasque aquí para suprimir la escritura|
Phone Login|Conexión Del Teléfono|
Phone Pass|Contraseña Del Teléfono|
Delete Users|Usuarios de la cancelación|
Delete User Groups|Suprima a grupos de usuario|
Delete Lists|La cancelación enumera|
Delete Campaigns|La cancelación hace campaña|
Delete In-Groups|En-Grupos de la cancelación|
Delete Remote Agents|Suprima los agentes alejados|
Delete Script|Escritura De la Cancelación|
Load Leads|La carga conduce|
Campaign Detail|Detalle de la campaña|
AGC Admin Access|Acceso de AGC Admin|
AGC Delete Phones|La cancelación de AGC telefona|
SCRIPT NOT ADDED|ESCRITURA NO AGREGADA|
SCRIPT ADDED|ESCRITURA AGREGADA|
SCRIPT NOT MODIFIED|ESCRITURA NO MODIFICADA|
SCRIPT MODIFIED|LA ESCRITURA SE MODIFICÓ|
DELETE THIS USER|SUPRIMA A ESTE USUARIO|
DELETE THIS CAMPAIGN|SUPRIMA ESTA CAMPAÑA|
DELETE THIS LIST|SUPRIMA ESTA LISTA|
DELETE THIS IN-GROUP|SUPRIMA A ESTE EN-GRUPO|
DELETE THIS REMOTE AGENT|SUPRIMA ESTE AGENTE ALEJADO|
DELETE THIS USER GROUP|SUPRIMA A ESTE GRUPO DE USUARIO|
DELETE THIS PHONE|SUPRIMA ESTE TELÉFONO|
DELETE THIS SCRIPT|SUPRIMA ESTA ESCRITURA|
USER NOT DELETED|USUARIO NO SUPRIMIDO|
CAMPAIGN NOT DELETED|CAMPAÑA NO SUPRIMIDA|
LIST NOT DELETED|LISTA NO SUPRIMIDA|
IN-GROUP NOT DELETED|EN-GRUPO NO SUPRIMIDO|
REMOTE AGENT NOT DELETED|AGENTE ALEJADO NO SUPRIMIDO|
USER GROUP NOT DELETED|GRUPO DE USUARIO NO SUPRIMIDO|
PHONE NOT DELETED|TELÉFONO NO SUPRIMIDO|
SCRIPT NOT DELETED|ESCRITURA NO SUPRIMIDA|
USER DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DEL USUARIO|
USER DELETION COMPLETED|CANCELADURA DEL USUARIO TERMINADA|
CAMPAIGN DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DE LA CAMPAÑA|
CAMPAIGN DELETION COMPLETED|LA CANCELADURA DE LA CAMPAÑA TERMINÓ|
Logout Agents|Agentes Del Registro de estado de la máquina|
AGENTS NOT LOGGED OUT OF CAMPAIGN|AGENTES NO REGISTRADOS FUERA DE CAMPAÑA|
AGENT LOGOUT CONFIRMATION|CONFIRMACIÓN DEL REGISTRO DE ESTADO DE LA MÁQUINA DEL AGENTE|
Click here to log all agents out of|Chasque aquí para registrar todos los agentes fuera de|
AGENT LOGOUT COMPLETED|EL REGISTRO DE ESTADO DE LA MÁQUINA DEL AGENTE TERMINÓ|
LOG ALL AGENTS OUT OF THIS CAMPAIGN|REGISTRE TODOS LOS AGENTES FUERA DE ESTA CAMPAÑA|
LIST DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DE LA LISTA|
LIST DELETION COMPLETED|LA CANCELADURA DE LA LISTA TERMINÓ|
IN-GROUP DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DE EN-GRUPO|
IN-GROUP DELETION COMPLETED|CANCELADURA DE EN-GRUPO TERMINADA|
REMOTE AGENT DELETION CONFIRMATION|CONFIRMACIÓN ALEJADA DE LA CANCELADURA DEL AGENTE|
REMOTE AGENT DELETION COMPLETED|CANCELADURA ALEJADA DEL AGENTE TERMINADA|
USER GROUP DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DEL GRUPO DE USUARIO|
USER GROUP DELETION COMPLETED|CANCELADURA DEL GRUPO DE USUARIO TERMINADA|
PHONE DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DEL TELÉFONO|
PHONE DELETION COMPLETED|LA CANCELADURA DEL TELÉFONO TERMINÓ|
SCRIPT DELETION CONFIRMATION|CONFIRMACIÓN DE LA CANCELADURA DE LA ESCRITURA|
SCRIPT DELETION COMPLETED|CANCELADURA DE LA ESCRITURA TERMINADA|
Preview Script|Escritura De la Inspección previo|
MODIFY A SCRIPT|MODIFIQUE Una ESCRITURA|
title of the script|título de la escritura|
CONFERENCE MODIFIED|CONFERENCIA MODIFICADA|
MODIFY A PHONE RECORD|MODIFICANDO EL TELÉFONO|
THE END|EL EXTREMO|
LIST ALL PHONES|ENUMERE TODOS LOS TELÉFONOS|
ADD A NEW PHONE|AGREGUE Un TELÉFONO NUEVO|
SEARCH FOR A PHONE|BÚSQUEDA PARA Un TELÉFONO|
ADD A SERVER|AGREGUE Un SERVIDOR|
LIST ALL SERVERS|ENUMERE TODOS LOS SERVIDORES|
SHOW ALL CONFERENCES|DEMUESTRE TODAS LAS CONFERENCIAS|
ADD A NEW CONFERENCE|AGREGUE Una NUEVA CONFERENCIA|
AMD Send to VM exten|AMD envían a la VM exten|
Transfer-Conf DTMF|Transfiera -Conf DTMF|
Transfer-Conf Number|Transfiera -Conf El Número|
Hot Keys Active|Hot Keys Activo|
Modify Leads|Modifique Los Plomos|
Change Agent Campaign|Cambie La Campaña Del Agente|
Agent Choose Ingroups|El Agente Elige Ingroups|
CallBacks Within Campaign|Servicios repetidos Dentro De la Campaña|
CallBacks Within List|Servicios repetidos Dentro De la Lista|
CallBacks Within Agent|Servicios repetidos Dentro Del Agente|
Phone extension|Extensión del teléfono|
Dial Plan Number|Número De Dial plan|
digits only|Solamente dígitos|
Voicemail Box|Buzón de voz|
Outbound CallerID|CallerID De salida|
Phone IP address|Dirección IP del teléfono|
Computer IP address|Dirección IP del ordenador|
Server IP Address|Dirección IP del Servidor|
Server IP|IP Del Servidor|
Login: |Login: |
Password: |Contraseña: |
Status: |Estado: |
Active Account|Cuenta Activa|
Phone Type|Tipo Del Teléfono|
Full Name|Nombre Completo|
Company: |Compañía: |
Picture: |Foto: |
Client Protocol|Protocolo Del Cliente|
Local GMT|GMT Local|
Do NOT Adjust for DST|No ajustar para el DST|
VALUE=SUBMIT|VALUE=ENVIAR|
ADD A NEW SERVER|AGREGAR Un SERVIDOR NUEVO|
Server ID|ID Del Servidor|
Server Description|Descripción Del Servidor|
Active: |Activo: |
Asterisk Version|Versión De Asterisk|
Conference Number|Número de la Conferencia|
New Messages|Mensajes Nuevos|
Old Messages|Mensajes Viejos|
Manager Login|Login del Manager|
Manager Secret|Contraseña del Manager|
VICIDIAL Default User|Usuario por defecto de VICIDIAL|
VICIDIAL Default Pass|Contraseña por defecto  de VICIDIAL|
VICIDIAL Default Campaign|Campaña por defecto de VICIDIAL|
Park Extension|Extensión del parking|
Park Exten|Extensión del parking|
Conf Extension|Extensión de la conferencia|
Conf Exten|Extensión de la conferencia|
VICIDIAL Park Exten|Exten. Del parking de VICIDIAL|
VICIDIAL Park File|Archivo para música del parking de VICIDIAL|
Monitor Prefix|Prefijo al monitorizar|
Recording Exten|Exten de Grabación|
VMailMain Exten|Exten de VmailMain|
VMailDump Exten|Exten de VmaiDumpl|
Exten Context|Contexto De Exten|
DTMFSend Channel|Canal de envío del DTMF|
Outbound Call Group|Grupo de las llamadas de salida|
Browser Location|Localización del Navegador|
Install Directory|Directorio de instalación|
CallerID URL|URL del CallerID|
VICIDIAL Default URL|URL por defecto de VICIDIAL|
Call Logging|Call Logging|
User Switching|Cambio de Usuario|
Conferencing|Conferencias|
Admin Hang Up|Colgar del Admin|
Admin Hijack|Captura del Admin|
Admin Monitor|Monitorización del Admin|
Call Park|Parking de Llamada|
Updater Check|Uptader Check|
AF Logging|AF Logging|
Queue Enabled|Colas permitidas|
CallerID Popup|Ventana emergente del CallerID|
VMail Button|Botón Vmail|
Fast Refresh|Refresco rápido|
Fast Refresh Rate|Refresco rápido de la tarifa|
Persistant MySQL|Persistant MySQL|
Auto Dial Next Number|Auto Marcar el Siguiente Número|
Stop Rec after each call|Parar de Grabar después de cada llamada|
Primary |Primario |
Secondary |Secundario |
DBX Server|Servidor de DBX|
DBX Database|Base de datos de DBX|
DBX User|Usuario de DBX|
DBX Pass|Contraseña de DBX|
DBX Port|Puerto de DBX|
DBY Server|Servidor de DBY|
DBY Database|Base de datos de DBY|
DBY User|Usuario de DBY|
DBY Pass|Contraseña de DBY|
DBY Port|Puerto de DBY|
MODIFY A SERVER RECORD|MODIFICAR UN REGISTRO DEL SERVIDOR|
Max VICIDIAL Trunks|Máx. Trunks en VICIDIAL|
Telnet Host|Host Del Telnet|
Telnet Port|Puerto Del Telnet|
Manager User|Usuario Del Manager|
Manager Update User|Usuario del Updater del Manager|
Manager Listen User|Usuario Listen del Manager|
Manager Send User|Usuario Send del Manager|
VMail Dump Exten|Extensión de Vmail Dump |
VICIDIAL AD extension|Extensión del AD de VICIDIAL|
Default Context|Contexto por Defecto|
PHONES WITHIN THIS SERVER|TELÉFONOS DENTRO DE ESTE SERVIDOR|
>EXTENSION<|>EXTENSIÓN<|
>NAME<|>NOMBRE<|
>ACTIVE<|>ACTIVO<|
>MODIFY<|>MODIFICAR<|
This server has|Este servidor tiene|
active phones and|Teléfonos activos y|
inactive phones|Teléfonos inactivos|
MODIFY A CONFERENCE RECORD|MODIFICAR UN REGISTRO DE LA CONFERENCIA|
Conference: |Conferencia: |
Current Extension|Extensión Actual|
extension: |Extensión: |
SEARCH RESULTS|RESULTADOS DE LA BÚSQUEDA|
PHONE LISTINGS|LISTADOS DE TELÉFONOS|
SERVER LISTINGS|LISTADOS DEL SERVIDOR|
CONFERENCE LISTINGS|LISTADOS DE CONFERENCIAS|
script runtime|Script runtime|
ADD NEW PHONE|NUEVO TELÉFONO|
ADD NEW SERVER|NUEVO SERVIDOR|
ADD NEW CONFERENCE|NUEVA CONFERENCIA|
ADD SCRIPT|AGREGUE LA ESCRITURA|
VIEW SCRIPTS|ESCRITURAS DE LA VISIÓN|
SCRIPTS LISTINGS|ESCRITURAS DE LA VISIÓN|
ADDING NEW PHONE|CREANDO TELÉFONO|
ADDING NEW SERVER|CREANDO SERVIDOR|
ADDING NEW CONFERENCE|CREANDO CONFERENCIA|
MODIFY PHONE|MODIFICAR EL TELÉFONO|
MODIFY SERVER|MODIFICAR EL SERVIDOR|
MODIFY CONFERENCE|MODIFICAR LA CONFERENCIA|
MODIFYING PHONE|MODIFICANDO EL TELÉFONO|
MODIFYING SERVER|MODIFICANDO EL SERVIDOR|
MODIFYING CONFERENCE|MODIFICANDO LA CONFERENCIA|
SEARCH PHONES|BUSCAR TELÉFONOS|
SEARCH PHONES RESULTS|RESULTADO DE LA BÚSQUEDA DE TELÉFONOS|
PHONE LIST|LISTA DE TELÉFONOS|
SERVER LIST|LISTA DE SERVIDORES|
CONFERENCE LIST|LISTA DE  CONFERENCIAS|
HELP|AYUDA|
Click here for phone stats|Pinchar aquí­ para ver las estadísticas del teléfono|
REMOTE INBOUND: Main|ENTRANTES REMOTOS: Principal|
REMOTE INBOUND: Popup|SALIENTES REMOTOS: Popup|
CALLS SENT TO|LLAMADAS REALIZADAS A|
Phone Stats|Estadísticas Del Teléfono|
CALL TIME AND CHANNELS|TIEMPO DE LLAMADA Y CANALES|
CHANNEL GROUP|GRUPO DE CANALES|
HOURS:MINUTES|HORAS:MINUTOS|
TOTAL CALLS|LLAMADAS TOTALES|
>NUMBER|>NÚMERO|
 DATE<| FECHA<|
Close this window|Cierre esta ventana|
Inbound Calls Stats|Estadística de Llamadas Entrantes|
Add New User|Añadir un Usuario|
Add New Campaign|Añadir una Campaña|
Add New List|Añadir una Lista|
Add New In-Group|Añadir un Grupo-Entrantes|
Add New Remote Agents|Añadir Agentes Remotos|
Add New Users Group|Añadir un Grupo De Usuarios|
Add New Script|Agregue La Nueva Escritura|
New User Addition|Nueva Adición De Usuario|
New Campaign Addition|Nueva Adición De la Campaña|
New Campaign Status Addition|Nueva Adición Del Estado De la Campaña|
New Campaign Hot Key Addition|Nueva Adición De Tecla De Acceso Directo De la Campaña|
New List Addition|Nueva Adición De la Lista|
New In-Group Addition|Nueva Adición Del Grupo de Entrantes|
New Remote Agents Addition|Nueva Adición de Agentes Remotos|
New Users Group Addition|Nueva Adición Del Grupo De Usuarios|
New Script Addition|Nueva Adición De la Escritura|
Modify User|Modificar Usuario|
Modify Campaign - Basic View|Modificar Campaña - Vista Básica|
Modify Campaign|Modifcar Campaña|
Modify List|Modificar Lista|
Modify In-Group|Modificar In-Group|
Modify Remote Agents|Modificar Agentes Remotos|
Modify Users Groups|Modificar Grupos De Usuarios|
Modify Script|Modifique La Escritura|
Welcome|Bienvenido|
Campaigns|Campañas|
Lists|Listas|
In-Groups|In-Groups|
Remote Agents|Agentes Remotos|
User Groups|Grupos De Usuario|
Search Form|Formulario De Búsqueda|
Search Results|RESULTADOS DE LA BÚSQUEDA|
VICIDIAL ADMIN|VICIDIAL ADMIN|
 TABLE| TABLA|
First Name|Nombre|
Middle Initial|Inicial Media|
Last Name|Apellidos|
Address Line 1|Dirección, línea 1|
Address Line 2|Dirección, línea 2|
Address Line 3|Dirección, línea 3|
City|Ciudad|
State - limited to 2 characters|Estado - limitado a 2 caracteres|
Province|Provincia|
Postal Code|Código Postal|
Country|País|
Gender|Sexo|
Date of Birth|Fecha de nacimiento|
Alternate Phone Number|Número De Teléfono Alternativo|
Email Address|Dirección Email|
Security Phrase|Frase De Seguridad|
Comments|Comentarios|
THE END|EL FIN|
Logout|Salir|
LIST USERS|MOSTRAR USUARIOS|
ADD A NEW USER|NUEVO USUARIO |
SEARCH FOR A USER|BUSCAR UN USUARIO|
ADD USER GROUP|NUEVO GRUPO DE USUARIO|
LIST USER GROUPS|MOSTRAR GRUPOS DE USUARIO|
ADD CAMPAIGN|NUEVA CAMPAÑA |
LIST CAMPAIGNS|MOSTRAR CAMPAÑAS|
SHOW LISTS|MOSTRAR LISTAS|
ADD NEW LIST|NUEVA LISTA   |
LOAD NEW LEADS|CARGAR LEADS|
SHOW IN-GROUPS|MOSTRAR IN-GROUPS|
ADD NEW IN-GROUP|NUEVO IN-GROUP|
SHOW REMOTE AGENTS|MOSTRAR LOS AGENTES REMOTOS|
ADD NEW REMOTE AGENTS|NUEVO AGENTE REMOTO|
SERVER STATS|ESTADÍSTICAS DEL SERVIDOR|
PARK REPORT|INFORME DE PARKING|
VDAD REPORT|INFORME DE VDAD|
CLOSER REPORT|INFORME CLOSER|
SEARCH FOR A LEAD|BÚSCAR UN LEAD|
GROUP HOURLY|GRUPO POR HORA|
User Number|NÚmero De Usuario|
Full Name|Nombre Completo|
User Level|Nivel Del Usuario|
User Group|Grupo Del Usuario|
ADD A NEW CAMPAIGN|NUEVA CAMPAÑA|
ADD A NEW INBOUND GROUP|NUEVO GRUPO DE ENTRADA|
ADD NEW USERS GROUP|NUEVO GRUPO DE USUARIOS|
Campaign ID|ID De la Campaña|
Campaign Name|Nombre de la Campaña|
Park Extension|Extensión Del Parking|
Park Filename|Nombre de fichero Del Parking|
Web Form|Formulario Web|
Allow Closers|Permitir Closers|
Hopper Level|Nivel Del Hopper|
Auto Dial Level|Nivel del Auto-Dial|
Next Agent Call|Llamar al Siguiente  Agente|
Local Call Time|Franja horaria de llamada|
Voicemail|Buzón de Voz|
SUBMIT|ENVIAR|
List ID|ID De la Lista|
List Name|Nombre De la Lista|
Campaign|Campaña|
Group ID|ID De Grupo|
Group Name|Nombre De Grupo|
Group Color|Color Del Grupo|
Fronter Display|Mostrar Fronter|
User ID Start|Comienzo Del ID del usuario|
Number of Lines|Número de líneas|
External Extension|Extensión Externa|
Inbound Groups|Grupos De entrada|
Group: |Grupo: |
Description: |Descripción: |
USER ADDED|EL USUARIOAÑADIDO|
CAMPAIGN ADDED|CAMPAÑA AÑADIDA|
CAMPAIGN STATUS ADDED|ESTADO DE LA CAMPAÑA AÑADIDA|
CAMPAIGN HOT KEY ADDED|ACCESO DIRECTO A LA CAMPAÑA AÑADIDO|
LIST ADDED|LISTA AÑADIDA|
GROUP ADDED|GRUPO AÑADIDO|
REMOTE AGENTS ADDED|AGENTES REMOTO AÑADIDO|
USER GROUP ADDED|GRUPO DE USUARIO AÑADIDO|
USER MODIFIED|USUARIO MODIFICADO|
CAMPAIGN MODIFIED|CAMPAÑA MODIFICADA|
GROUP MODIFIED|GRUPO MODIFICADO|
CAMPAIGN MODIFIED|CAMPAÑA MODIFICADA|
LIST MODIFIED|LISTA MODIFICADA|
USER GROUP MODIFIED|GRUPO DE USUARIO MODIFICADO|
RESETTING LIST-CALLED-STATUS|REAJUSTANDO LA LISTA - LLAMADA - ESTADO|
Dial status |Estado del dial |
List Order|Orden De la Lista|
Hopper Level|Nivel Del Hopper|
Force Reset of Hopper|Forzar el Reinicio del Hopper|
Dial Timeout|Tiempo de espera Del Dial|
Dial Prefix|Prefijo al marcar|
Campaign CallerID|CallerID de la Campaña|
Campaign VDAD exten|Exten VDAD de La campaña|
Campaign Rec exten|Extensión de Rec de la campaña|
Campaign Recording|Grabación De la Campaña|
Campaign Rec Filename|Nombre de fichero De Rec De la Campaña|
LISTS WITHIN THIS CAMPAIGN|LISTAS DENTRO DE ESTA CAMPAÑA|
LIST ID|ID DE LA LISTA|
LIST NAME|NOMBRE DE LA LISTA|
>ACTIVE<|>ACTIVO<|
This campaign has |Esta campaña tiene |
active lists and |listas activas y |
inactive lists|listas inactivas|
leads to be dialed in those lists|Leads para ser llamados en estas listas|
leads in the dial hopper|Leads en el Hopper|
>STATUS<|>ESTADO<|
>DESCRIPTION<|>DESCRIPCIÓN<|
>SELECTABLE<|>SELECCIONABLE<|
>DELETE<|>ELIMINAR<|
ADD NEW CUSTOM CAMPAIGN STATUS|AGREGAR ESTADO PERSONALIZADO A LA CAMPAÑA|
Selectable: |Seleccionable: |
value=ADD|value=ADD|
CUSTOM HOT KEYS WITHIN THIS CAMPAIGN|PERSONALIZAR ACCEDOS DIRECTOS PARA ESTA CAMPAÑA|
>HOT KEY<|>ACCESO DIRECTO<|
ADD NEW CUSTOM CAMPAIGN HOT KEY|AÑADIR ACCESO DIRECTO A LA CAMPAÑA|
Hot key: |Acceso Directo:|
Basic View|Vista Básica|
Detail View|Vista Detallada|
MODIFY A LISTS RECORD|MODIFICAR UN REGISTRO DE LAS LISTAS|
Reset Lead-Called-Status for this list|Reiniciar el Lead-Called-Status para esta lista|
STATUSES WITHIN THIS LIST|ESTADOS DENTRO DE ESTA LISTA|
>CALLED<|>LLAMADO<|
>NOT CALLED<|>NO LLAMADO<|
>SUBTOTALS<|>SUBTOTALES<|
>SUBTOTAL<|>SUBTOTAL<|
TIME ZONES WITHIN THIS LIST|ZONAS DE TIEMPO DENTRO DE ESTA LISTA|
GMT OFFSET NOW|DESPLAZAMIENTO GMT AHORA|
local time|tiempo local|
>TOTAL<|>TOTAL<|
CALLED COUNTS WITHIN THIS LIST|LLAMADAS  REALIZADAS DENTRO DE ESTA LISTA|
MODIFY A GROUPS RECORD|MODIFICAR UN REGISTRO DE LOS GRUPOS|
MODIFY A REMOTE AGENTS ENTRY|MODIFICAR UNA ENTRADA DE LOS AGENTES REMOTOS|
numbers only|Solamente números|
dial plan number dialed to reach agents|número del dial plan para alcanzar agentes|
MODIFY A USERS GROUP ENTRY|MODIFICAR UNA ENTRADA EN LOS GRUPOS DE USUARIOS|
no spaces or punctuation|sin espacios o signos de puntuación|
description of group|Descripción del grupo|
SEARCH FOR A USER|BUSCAR UN USUARIO|
SEARCH RESULTS|RESULTADOS DE LA BÚSQUEDA|
